Sum of __index_level_0__,Sum of avg_sea_level_pres_hpa,Sum of avg_temp_c,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,city_name,competition,country,date,date.1,date.2,Sum of Draw,Sum of Loose,Sum of max_temp_c,Sum of min_temp_c,neutral,Opponent,Sum of Point,precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of sunshine_total_min,TA,Team,TF,Sum of TotalTri,TranchTemp,TranchWind,Sum of Win,world_cup
4678,,,,,Adelaide,Adelaide,2003 Rugby World Cup,Australia,2003-10-26 00:00:00,2003-10-26 00:00:00,1899-12-30 00:00:00,0,0,9.2,4.7,True,Argentina,3,,W,Spring,false,,Adelaide Oval,95678,,15,Ireland,16,31,no data,no data,1,True
4678,,,,,Adelaide,Adelaide,2003 Rugby World Cup,Australia,2003-10-26 00:00:00,2003-10-26 00:00:00,1899-12-30 00:00:00,0,1,9.2,4.7,True,Ireland,0,,L,Spring,false,,Adelaide Oval,95678,,16,Argentina,15,31,no data,no data,0,True
11539,1022.5,8.8,39,13.4,Adelaide,Adelaide,2022 Rugby Championship,Australia,2022-08-27 00:00:00,2022-08-27 00:00:00,1899-12-30 00:00:00,0,1,13.4,7.6,False,Australia,0,0,L,Winter,false,,Adelaide Oval,95678,,25,South Africa,17,42,0-20,moins de 30,0,False
11539,1022.5,8.8,39,13.4,Adelaide,Adelaide,2022 Rugby Championship,Australia,2022-08-27 00:00:00,2022-08-27 00:00:00,1899-12-30 00:00:00,0,0,13.4,7.6,False,South Africa,3,0,W,Winter,false,,Adelaide Oval,95678,,17,Australia,25,42,0-20,moins de 30,1,False
28961,,22.4,,4.3,Albany,Albany,2017 Rugby Championship,New Zealand,2017-09-16 00:00:00,2017-09-16 00:00:00,1899-12-30 00:00:00,0,1,28.3,17.8,False,New Zealand,0,0,L,Autumn,false,0,North Harbour Stadium,72518,,57,South Africa,0,57,20-30,moins de 30,0,False
28961,,22.4,,4.3,Albany,Albany,2017 Rugby Championship,New Zealand,2017-09-16 00:00:00,2017-09-16 00:00:00,1899-12-30 00:00:00,0,0,28.3,17.8,False,South Africa,3,0,W,Autumn,false,0,North Harbour Stadium,72518,,0,New Zealand,57,57,20-30,moins de 30,1,False
4,,11.6,,,Auckland,Auckland,1994 South Africa tour,New Zealand,1994-08-06 00:00:00,1994-08-06 00:00:00,1899-12-30 00:00:00,1,0,,,False,New Zealand,1,0,D,Winter,false,,Eden Park,93110,,18,South Africa,18,36,0-20,no data,0,False
4,,11.6,,,Auckland,Auckland,1994 South Africa tour,New Zealand,1994-08-06 00:00:00,1994-08-06 00:00:00,1899-12-30 00:00:00,1,0,,,False,South Africa,1,0,D,Winter,false,,Eden Park,93110,,18,New Zealand,18,36,0-20,no data,0,False
335,,11.1,,,Auckland,Auckland,1995 Australia tour of New Zealand,New Zealand,1995-07-22 00:00:00,1995-07-22 00:00:00,1899-12-30 00:00:00,0,0,,,False,Australia,3,17,W,Winter,false,,Eden Park,93110,,16,New Zealand,28,44,0-20,no data,1,False
335,,11.1,,,Auckland,Auckland,1995 Australia tour of New Zealand,New Zealand,1995-07-22 00:00:00,1995-07-22 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,17,L,Winter,false,,Eden Park,93110,,28,Australia,16,44,0-20,no data,0,False
668,,14.4,,,Auckland,Auckland,1996 Scotland rugby union tour of New Zealand,New Zealand,1996-06-22 00:00:00,1996-06-22 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,10.9,L,Winter,false,,Eden Park,93110,,36,Scotland,12,48,0-20,no data,0,False
668,,14.4,,,Auckland,Auckland,1996 Scotland rugby union tour of New Zealand,New Zealand,1996-06-22 00:00:00,1996-06-22 00:00:00,1899-12-30 00:00:00,0,0,,,False,Scotland,3,10.9,W,Winter,false,,Eden Park,93110,,12,New Zealand,36,48,0-20,no data,1,False
1080,,11.8,,,Auckland,Auckland,1997 Tri Nations Series,New Zealand,1997-08-09 00:00:00,1997-08-09 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,55,South Africa,35,90,0-20,no data,0,False
1080,,11.8,,,Auckland,Auckland,1997 Tri Nations Series,New Zealand,1997-08-09 00:00:00,1997-08-09 00:00:00,1899-12-30 00:00:00,0,0,,,False,South Africa,3,0,W,Winter,false,,Eden Park,93110,,35,New Zealand,55,90,0-20,no data,1,False
1402,,11.4,,,Auckland,Auckland,1998 England rugby union tour of Australasia and South Africa,New Zealand,1998-06-27 00:00:00,1998-06-27 00:00:00,1899-12-30 00:00:00,0,0,,,False,England,3,,W,Winter,false,,Eden Park,93110,,10,New Zealand,40,50,0-20,no data,1,False
1402,,11.4,,,Auckland,Auckland,1998 England rugby union tour of Australasia and South Africa,New Zealand,1998-06-27 00:00:00,1998-06-27 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,,L,Winter,false,,Eden Park,93110,,40,England,10,50,0-20,no data,0,False
1792,,10.8,,,Auckland,Auckland,1999 Tri Nations Series,New Zealand,1999-07-24 00:00:00,1999-07-24 00:00:00,1899-12-30 00:00:00,0,0,,,False,Australia,3,,W,Winter,false,,Eden Park,93110,,15,New Zealand,34,49,0-20,no data,1,False
1792,,10.8,,,Auckland,Auckland,1999 Tri Nations Series,New Zealand,1999-07-24 00:00:00,1999-07-24 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,,L,Winter,false,,Eden Park,93110,,34,Australia,15,49,0-20,no data,0,False
2135,,13.9,,,Auckland,Auckland,2000 Scotland rugby union tour of New Zealand,New Zealand,2000-07-01 00:00:00,2000-07-01 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,0.5,L,Winter,false,,Eden Park,93110,,48,Scotland,14,62,0-20,no data,0,False
2135,,13.9,,,Auckland,Auckland,2000 Scotland rugby union tour of New Zealand,New Zealand,2000-07-01 00:00:00,2000-07-01 00:00:00,1899-12-30 00:00:00,0,0,,,False,Scotland,3,0.5,W,Winter,false,,Eden Park,93110,,14,New Zealand,48,62,0-20,no data,1,False
2555,,11.1,,,Auckland,Auckland,2001 Tri Nations Series,New Zealand,2001-08-25 00:00:00,2001-08-25 00:00:00,1899-12-30 00:00:00,0,1,,,False,New Zealand,0,,L,Winter,false,,Eden Park,93110,,26,South Africa,15,41,0-20,no data,0,False
2555,,11.1,,,Auckland,Auckland,2001 Tri Nations Series,New Zealand,2001-08-25 00:00:00,2001-08-25 00:00:00,1899-12-30 00:00:00,0,0,,,False,South Africa,3,,W,Winter,false,,Eden Park,93110,,15,New Zealand,26,41,0-20,no data,1,False
2856,,12.1,,,Auckland,Auckland,2002 Ireland rugby union tour of New Zealand,New Zealand,2002-06-22 00:00:00,2002-06-22 00:00:00,1899-12-30 00:00:00,0,1,,,False,Ireland,0,0.8,L,Winter,false,,Eden Park,93110,,8,New Zealand,40,48,0-20,no data,0,False
2856,,12.1,,,Auckland,Auckland,2002 Ireland rugby union tour of New Zealand,New Zealand,2002-06-22 00:00:00,2002-06-22 00:00:00,1899-12-30 00:00:00,0,0,,,False,New Zealand,3,0.8,W,Winter,false,,Eden Park,93110,,40,Ireland,8,48,0-20,no data,1,False
3275,,11.7,,,Auckland,Auckland,2003 Tri Nations Series,New Zealand,2003-08-16 00:00:00,2003-08-16 00:00:00,1899-12-30 00:00:00,0,0,15,9.5,False,Australia,3,5.1,W,Winter,false,,Eden Park,93110,,17,New Zealand,21,38,0-20,no data,1,False
3275,,11.7,,,Auckland,Auckland,2003 Tri Nations Series,New Zealand,2003-08-16 00:00:00,2003-08-16 00:00:00,1899-12-30 00:00:00,0,1,15,9.5,False,New Zealand,0,5.1,L,Winter,false,,Eden Park,93110,,21,Australia,17,38,0-20,no data,0,False
3582,,14.7,,,Auckland,Auckland,2004 England rugby union tour of Australasia,New Zealand,2004-06-19 00:00:00,2004-06-19 00:00:00,1899-12-30 00:00:00,0,0,17.2,12.6,False,England,3,33.3,W,Winter,false,,Eden Park,93110,,12,New Zealand,36,48,0-20,no data,1,False
3582,,14.7,,,Auckland,Auckland,2004 England rugby union tour of Australasia,New Zealand,2004-06-19 00:00:00,2004-06-19 00:00:00,1899-12-30 00:00:00,0,1,17.2,12.6,False,New Zealand,0,33.3,L,Winter,false,,Eden Park,93110,,36,England,12,48,0-20,no data,0,False
4023,,13.4,,,Auckland,Auckland,2005 Tri Nations Series,New Zealand,2005-09-03 00:00:00,2005-09-03 00:00:00,1899-12-30 00:00:00,0,0,18,6.7,False,Australia,3,0.3,W,Spring,false,,Eden Park,93110,,24,New Zealand,34,58,0-20,no data,1,False
4023,,13.4,,,Auckland,Auckland,2005 Tri Nations Series,New Zealand,2005-09-03 00:00:00,2005-09-03 00:00:00,1899-12-30 00:00:00,0,1,18,6.7,False,New Zealand,0,0.3,L,Spring,false,,Eden Park,93110,,34,Australia,24,58,0-20,no data,0,False
4310,,8.8,,,Auckland,Auckland,2006 Ireland rugby union tour of New Zealand and Australia,New Zealand,2006-06-17 00:00:00,2006-06-17 00:00:00,1899-12-30 00:00:00,0,0,11.8,,False,Ireland,3,15.5,W,Winter,false,,Eden Park,93110,,17,New Zealand,27,44,0-20,no data,1,False
4310,,8.8,,,Auckland,Auckland,2006 Ireland rugby union tour of New Zealand and Australia,New Zealand,2006-06-17 00:00:00,2006-06-17 00:00:00,1899-12-30 00:00:00,0,1,11.8,,False,New Zealand,0,15.5,L,Winter,false,,Eden Park,93110,,27,Ireland,17,44,0-20,no data,0,False
4373,,11.7,,,Auckland,Auckland,2006 Tri Nations Series,New Zealand,2006-08-19 00:00:00,2006-08-19 00:00:00,1899-12-30 00:00:00,0,0,14.2,,False,Australia,3,0,W,Winter,false,,Eden Park,93110,,27,New Zealand,34,61,0-20,no data,1,False
4373,,11.7,,,Auckland,Auckland,2006 Tri Nations Series,New Zealand,2006-08-19 00:00:00,2006-08-19 00:00:00,1899-12-30 00:00:00,0,1,14.2,,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,34,Australia,27,61,0-20,no data,0,False
4657,,14.2,,,Auckland,Auckland,2007 mid-year rugby union tests,New Zealand,2007-06-02 00:00:00,2007-06-02 00:00:00,1899-12-30 00:00:00,0,0,18.9,,False,France,3,0.5,W,Winter,false,,Eden Park,93110,,11,New Zealand,42,53,0-20,no data,1,False
4657,,14.2,,,Auckland,Auckland,2007 mid-year rugby union tests,New Zealand,2007-06-02 00:00:00,2007-06-02 00:00:00,1899-12-30 00:00:00,0,1,18.9,,False,New Zealand,0,0.5,L,Winter,false,,Eden Park,93110,,42,France,11,53,0-20,no data,0,False
4706,,10.7,,,Auckland,Auckland,2007 Tri Nations Series,New Zealand,2007-07-21 00:00:00,2007-07-21 00:00:00,1899-12-30 00:00:00,0,0,13.7,7,False,Australia,3,3.3,W,Winter,false,,Eden Park,93110,,12,New Zealand,26,38,0-20,no data,1,False
4706,,10.7,,,Auckland,Auckland,2007 Tri Nations Series,New Zealand,2007-07-21 00:00:00,2007-07-21 00:00:00,1899-12-30 00:00:00,0,1,13.7,7,False,New Zealand,0,3.3,L,Winter,false,,Eden Park,93110,,26,Australia,12,38,0-20,no data,0,False
5034,,14.5,,,Auckland,Auckland,2008 England rugby union tour of New Zealand,New Zealand,2008-06-14 00:00:00,2008-06-14 00:00:00,1899-12-30 00:00:00,0,0,17.8,10.2,False,England,3,0,W,Winter,false,,Eden Park,93110,,20,New Zealand,37,57,0-20,no data,1,False
5034,,14.5,,,Auckland,Auckland,2008 England rugby union tour of New Zealand,New Zealand,2008-06-14 00:00:00,2008-06-14 00:00:00,1899-12-30 00:00:00,0,1,17.8,10.2,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,37,England,20,57,0-20,no data,0,False
5083,,13.1,,,Auckland,Auckland,2008 Tri Nations Series,New Zealand,2008-08-02 00:00:00,2008-08-02 00:00:00,1899-12-30 00:00:00,0,0,14.7,9.5,False,Australia,3,2.3,W,Winter,false,,Eden Park,93110,,10,New Zealand,39,49,0-20,no data,1,False
5083,,13.1,,,Auckland,Auckland,2008 Tri Nations Series,New Zealand,2008-08-02 00:00:00,2008-08-02 00:00:00,1899-12-30 00:00:00,0,1,14.7,9.5,False,New Zealand,0,2.3,L,Winter,false,,Eden Park,93110,,39,Australia,10,49,0-20,no data,0,False
5433,,12.1,,,Auckland,Auckland,2009 Tri Nations Series,New Zealand,2009-07-18 00:00:00,2009-07-18 00:00:00,1899-12-30 00:00:00,0,0,13.9,9.7,False,Australia,3,15.2,W,Winter,false,,Eden Park,93110,,16,New Zealand,22,38,0-20,no data,1,False
5433,,12.1,,,Auckland,Auckland,2009 Tri Nations Series,New Zealand,2009-07-18 00:00:00,2009-07-18 00:00:00,1899-12-30 00:00:00,0,1,13.9,9.7,False,New Zealand,0,15.2,L,Winter,false,,Eden Park,93110,,22,Australia,16,38,0-20,no data,0,False
5790,,6.4,,,Auckland,Auckland,2010 Tri Nations Series,New Zealand,2010-07-10 00:00:00,2010-07-10 00:00:00,1899-12-30 00:00:00,0,1,11.5,,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,32,South Africa,12,44,0-20,no data,0,False
5790,,6.4,,,Auckland,Auckland,2010 Tri Nations Series,New Zealand,2010-07-10 00:00:00,2010-07-10 00:00:00,1899-12-30 00:00:00,0,0,11.5,,False,South Africa,3,0,W,Winter,false,,Eden Park,93110,,12,New Zealand,32,44,0-20,no data,1,False
6231,,13.9,,,Auckland,Auckland,2011 Rugby World Cup,New Zealand,2011-09-24 00:00:00,2011-09-24 00:00:00,1899-12-30 00:00:00,0,0,17.8,7.9,False,France,3,0,W,Spring,false,,Eden Park,93110,,17,New Zealand,37,54,0-20,no data,1,True
6231,,13.9,,,Auckland,Auckland,2011 Rugby World Cup,New Zealand,2011-09-24 00:00:00,2011-09-24 00:00:00,1899-12-30 00:00:00,0,1,17.8,7.9,False,New Zealand,0,0,L,Spring,false,,Eden Park,93110,,37,France,17,54,0-20,no data,0,True
6224,,11.8,,,Auckland,Auckland,2011 Rugby World Cup,New Zealand,2011-09-17 00:00:00,2011-09-17 00:00:00,1899-12-30 00:00:00,0,1,16.5,,True,Australia,0,2.8,L,Spring,false,,Eden Park,93110,,6,Ireland,15,21,0-20,no data,0,True
6224,,11.8,,,Auckland,Auckland,2011 Rugby World Cup,New Zealand,2011-09-17 00:00:00,2011-09-17 00:00:00,1899-12-30 00:00:00,0,0,16.5,,True,Ireland,3,2.8,W,Spring,false,,Eden Park,93110,,15,Australia,6,21,0-20,no data,1,True
6258,,15.9,,,Auckland,Auckland,2011 Rugby World Cup bronze final,New Zealand,2011-10-21 00:00:00,2011-10-21 00:00:00,1899-12-30 00:00:00,0,1,18.7,13,True,Australia,0,0,L,Spring,false,,Eden Park,93110,,21,Wales,18,39,0-20,no data,0,True
6258,,15.9,,,Auckland,Auckland,2011 Rugby World Cup bronze final,New Zealand,2011-10-21 00:00:00,2011-10-21 00:00:00,1899-12-30 00:00:00,0,0,18.7,13,True,Wales,3,0,W,Spring,false,,Eden Park,93110,,18,Australia,21,39,0-20,no data,1,True
6260,,13.8,,,Auckland,Auckland,2011 Rugby World Cup Final,New Zealand,2011-10-23 00:00:00,2011-10-23 00:00:00,1899-12-30 00:00:00,0,0,18.7,,False,France,3,0,W,Spring,false,,Eden Park,93110,,7,New Zealand,8,15,0-20,no data,1,True
6260,,13.8,,,Auckland,Auckland,2011 Rugby World Cup Final,New Zealand,2011-10-23 00:00:00,2011-10-23 00:00:00,1899-12-30 00:00:00,0,1,18.7,,False,New Zealand,0,0,L,Spring,false,,Eden Park,93110,,8,France,7,15,0-20,no data,0,True
6218,,12.6,,,Auckland,Auckland,2011 Rugby World Cup Pool match,New Zealand,2011-09-11 00:00:00,2011-09-11 00:00:00,1899-12-30 00:00:00,0,0,16.4,,True,Australia,3,11.7,W,Spring,false,,North Harbour Stadium,93110,,32,Italy,6,38,0-20,no data,1,True
6238,,15.2,,,Auckland,Auckland,2011 Rugby World Cup Pool match,New Zealand,2011-10-01 00:00:00,2011-10-01 00:00:00,1899-12-30 00:00:00,0,1,16.8,9.8,True,England,0,0,L,Spring,false,,Eden Park,93110,,16,Scotland,12,28,0-20,no data,0,True
6218,,12.6,,,Auckland,Auckland,2011 Rugby World Cup Pool match,New Zealand,2011-09-11 00:00:00,2011-09-11 00:00:00,1899-12-30 00:00:00,0,1,16.4,,True,Italy,0,11.7,L,Spring,false,,North Harbour Stadium,93110,,6,Australia,32,38,0-20,no data,0,True
6238,,15.2,,,Auckland,Auckland,2011 Rugby World Cup Pool match,New Zealand,2011-10-01 00:00:00,2011-10-01 00:00:00,1899-12-30 00:00:00,0,0,16.8,9.8,True,Scotland,3,0,W,Spring,false,,Eden Park,93110,,12,England,16,28,0-20,no data,1,True
6245,,12.7,,,Auckland,Auckland,2011 Rugby World Cup quarter-final,New Zealand,2011-10-08 00:00:00,2011-10-08 00:00:00,1899-12-30 00:00:00,0,0,17.1,,True,England,3,0.3,W,Spring,false,,Eden Park,93110,,12,France,19,31,0-20,no data,1,True
6245,,12.7,,,Auckland,Auckland,2011 Rugby World Cup quarter-final,New Zealand,2011-10-08 00:00:00,2011-10-08 00:00:00,1899-12-30 00:00:00,0,1,17.1,,True,France,0,0.3,L,Spring,false,,Eden Park,93110,,19,England,12,31,0-20,no data,0,True
6246,,14.3,,,Auckland,Auckland,2011 Rugby World Cup Quarter-finals,New Zealand,2011-10-09 00:00:00,2011-10-09 00:00:00,1899-12-30 00:00:00,0,0,18,8.7,False,Argentina,3,0.3,W,Spring,false,,Eden Park,93110,,10,New Zealand,33,43,0-20,no data,1,True
6246,,14.3,,,Auckland,Auckland,2011 Rugby World Cup Quarter-finals,New Zealand,2011-10-09 00:00:00,2011-10-09 00:00:00,1899-12-30 00:00:00,0,1,18,8.7,False,New Zealand,0,0.3,L,Spring,false,,Eden Park,93110,,33,Argentina,10,43,0-20,no data,0,True
6253,,12.9,,,Auckland,Auckland,2011 Rugby World Cup Semi-final,New Zealand,2011-10-16 00:00:00,2011-10-16 00:00:00,1899-12-30 00:00:00,0,1,17.6,,False,Australia,0,0.8,L,Spring,false,,Eden Park,93110,,6,New Zealand,20,26,0-20,no data,0,True
6253,,12.9,,,Auckland,Auckland,2011 Rugby World Cup Semi-final,New Zealand,2011-10-16 00:00:00,2011-10-16 00:00:00,1899-12-30 00:00:00,0,0,17.6,,False,New Zealand,3,0.8,W,Spring,false,,Eden Park,93110,,20,Australia,6,26,0-20,no data,1,True
6252,,14.1,,,Auckland,Auckland,2011 rugby World Cup Semi-finals,New Zealand,2011-10-15 00:00:00,2011-10-15 00:00:00,1899-12-30 00:00:00,0,1,18.7,9.8,True,France,0,2.3,L,Spring,false,,Eden Park,93110,,9,Wales,8,17,0-20,no data,0,True
6252,,14.1,,,Auckland,Auckland,2011 rugby World Cup Semi-finals,New Zealand,2011-10-15 00:00:00,2011-10-15 00:00:00,1899-12-30 00:00:00,0,0,18.7,9.8,True,Wales,3,2.3,W,Spring,false,,Eden Park,93110,,8,France,9,17,0-20,no data,1,True
6182,,14,,,Auckland,Auckland,2011 Tri Nations Series,New Zealand,2011-08-06 00:00:00,2011-08-06 00:00:00,1899-12-30 00:00:00,0,0,15.4,5.7,False,Australia,3,0,W,Winter,false,,Eden Park,93110,,14,New Zealand,30,44,0-20,no data,1,False
6182,,14,,,Auckland,Auckland,2011 Tri Nations Series,New Zealand,2011-08-06 00:00:00,2011-08-06 00:00:00,1899-12-30 00:00:00,0,1,15.4,5.7,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,30,Australia,14,44,0-20,no data,0,False
6490,,13.7,,,Auckland,Auckland,2012 Ireland rugby union tour of New Zealand,New Zealand,2012-06-09 00:00:00,2012-06-09 00:00:00,1899-12-30 00:00:00,0,0,17,9.8,False,Ireland,3,9.9,W,Winter,false,,Eden Park,93110,,10,New Zealand,42,52,0-20,no data,1,False
6490,,13.7,,,Auckland,Auckland,2012 Ireland rugby union tour of New Zealand,New Zealand,2012-06-09 00:00:00,2012-06-09 00:00:00,1899-12-30 00:00:00,0,1,17,9.8,False,New Zealand,0,9.9,L,Winter,false,,Eden Park,93110,,42,Ireland,10,52,0-20,no data,0,False
6567,,12.5,,,Auckland,Auckland,2012 Rugby Championship,New Zealand,2012-08-25 00:00:00,2012-08-25 00:00:00,1899-12-30 00:00:00,0,0,16.4,6,False,Australia,3,0,W,Winter,false,,Eden Park,93110,,0,New Zealand,22,22,0-20,no data,1,False
6567,,12.5,,,Auckland,Auckland,2012 Rugby Championship,New Zealand,2012-08-25 00:00:00,2012-08-25 00:00:00,1899-12-30 00:00:00,0,1,16.4,6,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,22,Australia,0,22,0-20,no data,0,False
6854,,13.9,,,Auckland,Auckland,2013 French tour to New Zealand,New Zealand,2013-06-08 00:00:00,2013-06-08 00:00:00,1899-12-30 00:00:00,0,0,17.1,7.8,False,France,3,0,W,Winter,false,,Eden Park,93110,,13,New Zealand,23,36,0-20,no data,1,False
6854,,13.9,,,Auckland,Auckland,2013 French tour to New Zealand,New Zealand,2013-06-08 00:00:00,2013-06-08 00:00:00,1899-12-30 00:00:00,0,1,17.1,7.8,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,23,France,13,36,0-20,no data,0,False
6952,,11.6,,,Auckland,Auckland,2013 Rugby Championship,New Zealand,2013-09-14 00:00:00,2013-09-14 00:00:00,1899-12-30 00:00:00,0,1,14.9,,False,New Zealand,0,8.4,L,Spring,false,,Eden Park,93110,,29,South Africa,15,44,0-20,no data,0,False
6952,,11.6,,,Auckland,Auckland,2013 Rugby Championship,New Zealand,2013-09-14 00:00:00,2013-09-14 00:00:00,1899-12-30 00:00:00,0,0,14.9,,False,South Africa,3,8.4,W,Spring,false,,Eden Park,93110,,15,New Zealand,29,44,0-20,no data,1,False
7218,,13,,,Auckland,Auckland,2014 England rugby union tour of New Zealand,New Zealand,2014-06-07 00:00:00,2014-06-07 00:00:00,1899-12-30 00:00:00,0,0,18.3,,False,England,3,0,W,Winter,false,,Eden Park,93110,,15,New Zealand,20,35,0-20,no data,1,False
7218,,13,,,Auckland,Auckland,2014 England rugby union tour of New Zealand,New Zealand,2014-06-07 00:00:00,2014-06-07 00:00:00,1899-12-30 00:00:00,0,1,18.3,,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,20,England,15,35,0-20,no data,0,False
7295,,10.3,,,Auckland,Auckland,2014 Rugby Championship,New Zealand,2014-08-23 00:00:00,2014-08-23 00:00:00,1899-12-30 00:00:00,0,0,15,,False,Australia,3,0,W,Winter,false,,Eden Park,93110,,20,New Zealand,51,71,0-20,no data,1,False
7295,,10.3,,,Auckland,Auckland,2014 Rugby Championship,New Zealand,2014-08-23 00:00:00,2014-08-23 00:00:00,1899-12-30 00:00:00,0,1,15,,False,New Zealand,0,0,L,Winter,false,,Eden Park,93110,,51,Australia,20,71,0-20,no data,0,False
7642,,11.9,,,Auckland,Auckland,2015 Rugby World Cup warm-up match,New Zealand,2015-08-15 00:00:00,2015-08-15 00:00:00,1899-12-30 00:00:00,0,0,14.9,8.8,False,Australia,3,10.4,W,Winter,false,,Eden Park,93110,,13,New Zealand,41,54,0-20,no data,1,False
7642,,11.9,,,Auckland,Auckland,2015 Rugby World Cup warm-up match,New Zealand,2015-08-15 00:00:00,2015-08-15 00:00:00,1899-12-30 00:00:00,0,1,14.9,8.8,False,New Zealand,0,10.4,L,Winter,false,,Eden Park,93110,,41,Australia,13,54,0-20,no data,0,False
8076,,13.7,,,Auckland,Auckland,2016 Autumn International,New Zealand,2016-10-22 00:00:00,2016-10-22 00:00:00,1899-12-30 00:00:00,0,0,17.2,,False,Australia,3,0.5,W,Spring,false,,Eden Park,93110,,10,New Zealand,37,47,0-20,no data,1,False
8076,,13.7,,,Auckland,Auckland,2016 Autumn International,New Zealand,2016-10-22 00:00:00,2016-10-22 00:00:00,1899-12-30 00:00:00,0,1,17.2,,False,New Zealand,0,0.5,L,Spring,false,,Eden Park,93110,,37,Australia,10,47,0-20,no data,0,False
7943,,14.3,,,Auckland,Auckland,2016 Wales tour of New Zealand,New Zealand,2016-06-11 00:00:00,2016-06-11 00:00:00,1899-12-30 00:00:00,0,1,17.7,11.3,False,New Zealand,0,1.8,L,Winter,false,,Eden Park,93110,,39,Wales,21,60,0-20,no data,0,False
7943,,14.3,,,Auckland,Auckland,2016 Wales tour of New Zealand,New Zealand,2016-06-11 00:00:00,2016-06-11 00:00:00,1899-12-30 00:00:00,0,0,17.7,11.3,False,Wales,3,1.8,W,Winter,false,,Eden Park,93110,,21,New Zealand,39,60,0-20,no data,1,False
8669,,10,,,Auckland,Auckland,2018 French tour to New Zealand,New Zealand,2018-06-09 00:00:00,2018-06-09 00:00:00,1899-12-30 00:00:00,0,0,16.2,3.8,False,France,3,0.3,W,Winter,false,,Eden Park,93110,,11,New Zealand,52,63,0-20,no data,1,False
8669,,10,,,Auckland,Auckland,2018 French tour to New Zealand,New Zealand,2018-06-09 00:00:00,2018-06-09 00:00:00,1899-12-30 00:00:00,0,1,16.2,3.8,False,New Zealand,0,0.3,L,Winter,false,,Eden Park,93110,,52,France,11,63,0-20,no data,0,False
8746,1014,12.6,233,27.3,Auckland,Auckland,2018 Rugby Championship,New Zealand,2018-08-25 00:00:00,2018-08-25 00:00:00,1899-12-30 00:00:00,0,0,15.1,9.7,False,Australia,3,1.5,W,Winter,false,,Eden Park,93110,,12,New Zealand,40,52,0-20,moins de 30,1,False
8746,1014,12.6,233,27.3,Auckland,Auckland,2018 Rugby Championship,New Zealand,2018-08-25 00:00:00,2018-08-25 00:00:00,1899-12-30 00:00:00,0,1,15.1,9.7,False,New Zealand,0,1.5,L,Winter,false,,Eden Park,93110,,40,Australia,12,52,0-20,moins de 30,0,False
9103,1012.9,12.1,309,15.3,Auckland,Auckland,2019 Rugby World Cup warm-up match,New Zealand,2019-08-17 00:00:00,2019-08-17 00:00:00,1899-12-30 00:00:00,0,0,16.6,7.8,False,Australia,3,1.5,W,Winter,false,,Eden Park,93110,,0,New Zealand,36,36,0-20,moins de 30,1,False
9103,1012.9,12.1,309,15.3,Auckland,Auckland,2019 Rugby World Cup warm-up match,New Zealand,2019-08-17 00:00:00,2019-08-17 00:00:00,1899-12-30 00:00:00,0,1,16.6,7.8,False,New Zealand,0,1.5,L,Winter,false,,Eden Park,93110,,36,Australia,0,36,0-20,moins de 30,0,False
9531,1019.1,15.8,124,7.8,Auckland,Auckland,2020 Autumn International,New Zealand,2020-10-18 00:00:00,2020-10-18 00:00:00,1899-12-30 00:00:00,0,1,18.5,6.7,False,Australia,0,1.5,L,Spring,false,,Eden Park,93110,,7,New Zealand,27,34,0-20,moins de 30,0,False
9531,1019.1,15.8,124,7.8,Auckland,Auckland,2020 Autumn International,New Zealand,2020-10-18 00:00:00,2020-10-18 00:00:00,1899-12-30 00:00:00,0,0,18.5,6.7,False,New Zealand,3,1.5,W,Spring,false,,Eden Park,93110,,27,Australia,7,34,0-20,moins de 30,1,False
9831,1017.2,12.7,255,21.9,Auckland,Auckland,2021 Rugby Championship,New Zealand,2021-08-14 00:00:00,2021-08-14 00:00:00,1899-12-30 00:00:00,0,0,15.4,9,False,Australia,3,1.5,W,Winter,false,,Eden Park,93110,,22,New Zealand,57,79,0-20,moins de 30,1,False
9831,1017.2,12.7,255,21.9,Auckland,Auckland,2021 Rugby Championship,New Zealand,2021-08-14 00:00:00,2021-08-14 00:00:00,1899-12-30 00:00:00,0,1,15.4,9,False,New Zealand,0,1.5,L,Winter,false,,Eden Park,93110,,57,Australia,22,79,0-20,moins de 30,0,False
