date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1969-06-14,New Zealand,Wales,33,12,"1969 Wales tour of New Zealand, Australia and Fiji",Eden Park,Auckland,New Zealand,False,False
1969-06-21,Australia,Wales,16,19,"1969 Wales tour of Australia, New Zealand and Fiji",Sydney Cricket Ground,Sydney,Australia,False,False
1969-08-02,South Africa,Australia,30,11,1969 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa,False,False
1969-08-16,South Africa,Australia,16,9,1969 Australia tour of South Africa,Kings Park Stadium,Durban,South Africa,False,False
1969-09-06,South Africa,Australia,11,3,1969 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,False,False
1969-09-20,South Africa,Australia,19,8,1969 Australia tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False
1969-12-06,Scotland,South Africa,6,3,1969–70 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland,False,False
1969-12-20,England,South Africa,11,8,1969-70 South Africa rugby union tour of Britain and Ireland,Twickenham,London,England,False,False
1970-01-10,Scotland,France,9,11,1970 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1970-01-10,Ireland,South Africa,8,8,1969–70 South Africa rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,False,False
1970-01-24,Wales,South Africa,6,6,1969–70 South Africa tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,False,False
1970-01-24,France,Ireland,8,0,1970 Five Nations Championship,Colombes,Paris,France,False,False
1970-02-07,Wales,Scotland,18,9,1970 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1970-02-14,England,Ireland,9,3,1970 Five Nations Championship,Twickenham,London,England,False,False
1970-02-21,Scotland,England,14,5,1970 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1970-02-28,Ireland,Scotland,16,11,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
