date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1871-03-27,Scotland,England,1,0,1871 Scotland v England International,Raeburn Place,Edinburgh,Scotland,False,False
1872-02-05,England,Scotland,2,1,1871–72 Home Nations International,The Oval,London,England,False,False
1873-03-03,Scotland,England,0,0,1872–73 Home Nations International,West of Scotland F.C.,Glasgow,Scotland,False,False
1874-02-23,England,Scotland,1,0,1873–74 Home Nations International,The Oval,London,England,False,False
1875-02-15,England,Ireland,2,0,1874–75 Home Nations rugby union matches,The Oval,London,England,False,False
1875-03-08,Scotland,England,0,0,1874–75 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1875-12-13,Ireland,England,0,1,1875–76 Home Nations rugby union matches,Rathmines,Dublin,Ireland,False,False
1876-03-06,England,Scotland,1,0,1875–76 Home Nations International,The Oval,London,England,False,False
1877-02-05,England,Ireland,2,0,1876–77 Home Nations rugby union matches,The Oval,London,England,False,False
1877-02-19,Ireland,Scotland,0,6,1876–77 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False
1877-03-05,Scotland,England,1,0,1876–77 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1878-03-04,England,Scotland,0,0,1877–78 Home Nations International,The Oval,London,England,False,False
1878-03-11,Ireland,England,0,2,1877–78 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1879-02-17,Ireland,Scotland,0,2,1878–79 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False
1879-03-10,Scotland,England,1,1,1878–79 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1879-03-24,England,Ireland,3,0,1878–79 Home Nations rugby union matches,The Oval,London,England,False,False
1880-01-30,Ireland,England,0,1,1879–80 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1880-02-14,Scotland,Ireland,3,0,1879–80 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland,False,False
1880-02-28,England,Scotland,2,1,1879–80 Home Nations International,Whalley Range,Manchester,England,False,False
1881-02-10,England,Ireland,2,0,1880–81 Home Nations rugby union matches,Whalley Range,Manchester,England,False,False
1881-02-19,Ireland,Scotland,1,0,1880–81 Home Nations rugby union matches,Ormeau Cricket Ground,Belfast,Ireland,False,False
1881-02-19,England,Wales,8,0,Wales tour,Richardson's Field,Blackheath,England,False,False
1881-03-19,Scotland,England,1,1,1880–81 Home Nations International,Raeburn Place,Edinburgh,Scotland,False,False
1882-01-28,Ireland,Wales,0,2,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1882-02-06,Ireland,England,0,0,1881–82 Home Nations rugby union matches,Lansdowne Road,Dublin,Ireland,False,False
1882-02-18,Scotland,Ireland,1,0,1881–82 Home Nations rugby union matches,Hamilton Crescent,Glasgow,Scotland,False,False
1882-03-04,England,Scotland,0,1,1881–82 Home Nations International,Whalley Range,Manchester,England,False,False
1882-12-16,Wales,England,0,2,1883 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1883-01-08,Scotland,Wales,3,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1883-02-10,England,Ireland,1,0,1883 Home Nations Championship,Whalley Range,Manchester,England,False,False
1883-02-17,Ireland,Scotland,0,1,1883 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False
1883-03-03,Scotland,England,0,1,1883 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1884-01-05,England,Wales,2,1,1884 Home Nations Championship,Cardigan Fields,Leeds,England,False,False
1884-01-12,Wales,Scotland,0,1,1884 Home Nations Championship,Rodney Parade,Newport,Wales,False,False
1884-02-04,Ireland,England,0,1,1884 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1884-02-16,Scotland,Ireland,2,0,1884 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland,False,False
1884-03-01,England,Scotland,1,0,1884 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1884-04-12,Wales,Ireland,1,0,1884 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1885-01-03,Wales,England,1,2,1885 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1885-01-10,Scotland,Wales,0,0,1885 Home Nations Championship,Hamilton Crescent,Glasgow,Scotland,False,False
1885-02-07,England,Ireland,1,0,1885 Home Nations Championship,Whalley Range,Manchester,England,False,False
1885-03-07,Scotland,Ireland,1,0,1885 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1886-01-02,England,Wales,2,1,1886 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1886-01-09,Wales,Scotland,0,2,1886 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1886-02-06,Ireland,England,0,1,1886 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1886-02-20,Scotland,Ireland,4,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1886-03-13,Scotland,England,0,0,1886 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1887-01-08,Wales,England,0,0,1887 Home Nations Championship,Stradey Park,Llanelli,Wales,False,False
1887-02-05,Ireland,England,2,0,1887 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1887-02-19,Ireland,Scotland,0,2,1887 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False
1887-02-26,Scotland,Wales,4,0,1887 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1887-03-05,England,Scotland,0,0,1887 Home Nations Championship,Whalley Range,Manchester,England,False,False
1887-03-12,Wales,Ireland,0,1,1887 Home Nations Championship,Birkenhead Park,Birkenhead,England,True,False
1888-02-04,Wales,Scotland,1,0,1888 Home Nations Championship,Rodney Parade,Newport,Wales,False,False
1888-03-03,Ireland,Wales,2,0,1888 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1888-03-10,Scotland,Ireland,1,0,1888 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1889-02-02,Scotland,Wales,1,0,1889 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1889-02-16,Ireland,Scotland,0,1,1889 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False
1889-03-02,Wales,Ireland,0,1,1889 Home Nations Championship,St Helens,Swansea,Wales,False,False
1890-02-01,Wales,Scotland,2,8,1890 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1890-02-15,England,Wales,0,1,1890 Home Nations Championship,Crown Flatt,Dewsbury,England,False,False
1890-02-22,Scotland,Ireland,5,0,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1890-03-01,Ireland,Wales,3,3,1890 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1890-03-01,Scotland,England,0,6,1890 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1890-03-15,England,Ireland,3,0,1890 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1891-01-03,Wales,England,3,7,1891 Home Nations Championship,Rodney Parade,Newport,Wales,False,False
1891-02-07,Scotland,Wales,15,0,1891 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1891-02-07,Ireland,England,0,9,1891 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1891-02-21,Ireland,Scotland,0,14,1891 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False
1891-03-07,Wales,Ireland,6,4,1891 Home Nations Championship,Stradey Park,Llanelli,Wales,False,False
1891-03-07,England,Scotland,3,9,1891 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1892-01-02,England,Wales,17,0,1892 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1892-02-06,Wales,Scotland,2,7,1892 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1892-02-06,England,Ireland,7,0,1892 Home Nations Championship,Whalley Range,Manchester,England,False,False
1892-02-20,Scotland,Ireland,2,0,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1892-03-05,Ireland,Wales,9,0,1892 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1892-03-06,Scotland,England,0,5,1892 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1893-01-07,Wales,England,12,11,1893 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1893-02-04,Scotland,Wales,0,9,1893 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1893-02-04,Ireland,England,0,4,1893 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1893-02-18,Ireland,Scotland,0,0,1893 Home Nations Championship,Ormeau Cricket Ground,Belfast,Ireland,False,False
1893-03-04,England,Scotland,0,8,1893 Home Nations Championship,Headingley,Leeds,England,False,False
1893-03-11,Wales,Ireland,2,0,1893 Home Nations Championship,Stradey Park,Llanelli,Wales,False,False
1894-01-04,England,Wales,24,3,1894 Home Nations Championship,Upper Park,Birkenhead,England,False,False
1894-02-03,England,Ireland,5,7,1894 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1894-02-03,Wales,Scotland,7,0,1894 Home Nations Championship,Rodney Parade,Newport,Wales,False,False
1894-02-24,Ireland,Scotland,5,0,1894 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1894-03-10,Ireland,Wales,3,0,1894 Home Nations Championship,Ulster Cricket Ground,Belfast,Ireland,False,False
1894-03-17,Scotland,England,6,0,1894 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1895-01-05,Wales,England,6,14,1895 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1895-01-26,Scotland,Wales,5,4,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1895-02-02,Ireland,England,3,6,1895 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1895-03-02,Scotland,Ireland,6,0,1895 Home Nations Championship,Raeburn Place,Edinburgh,Scotland,False,False
1895-03-09,England,Scotland,3,6,1895 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1895-03-16,Wales,Ireland,5,3,1895 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1896-01-04,England,Wales,25,0,1896 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1896-01-25,Wales,Scotland,6,0,1896 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1896-02-01,England,Ireland,4,10,1896 Home Nations Championship,Meanwood Road,Leeds,England,False,False
1896-02-15,Ireland,Scotland,0,0,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1896-03-14,Scotland,England,11,0,1896 Home Nations Championship,Hampden Park,Glasgow,Scotland,False,False
1896-03-17,Ireland,Wales,8,4,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1897-01-09,Wales,England,11,0,1897 Home Nations Championship,Rodney Parade,Newport,Wales,False,False
1897-02-06,Ireland,England,13,9,1897 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1897-02-20,Scotland,Ireland,8,3,1897 Home Nations Championship,Powderhall Stadium,Edinburgh,Scotland,False,False
1897-03-13,England,Scotland,12,3,1897 Home Nations Championship,Fallowfield,Manchester,England,False,False
1898-02-05,England,Ireland,6,9,1898 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1898-02-19,Ireland,Scotland,0,8,1898 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1898-03-12,Scotland,England,3,3,1898 Home Nations Championship,Powderhall,Edinburgh,Scotland,False,False
1898-03-19,Ireland,Wales,3,11,1898 Home Nations Championship,Thomond Park,Limerick,Ireland,False,False
1898-04-02,England,Wales,14,7,1898 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1899-01-07,Wales,England,26,3,1899 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1899-02-04,Ireland,England,6,0,1899 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1899-02-18,Scotland,Ireland,3,9,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1899-03-04,Scotland,Wales,21,10,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1899-03-11,England,Scotland,0,5,1899 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1899-03-18,Wales,Ireland,0,3,1899 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1900-01-06,England,Wales,3,13,1900 Home Nations Championship,Kingsholm,Gloucester,England,False,False
1900-01-27,Wales,Scotland,12,3,1900 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1900-02-03,England,Ireland,15,4,1900 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1900-02-24,Ireland,Scotland,0,0,1900 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1900-03-10,Scotland,England,0,0,1900 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1900-03-17,Ireland,Wales,0,3,1900 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False
1901-01-05,Wales,England,13,0,1901 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1901-02-09,Scotland,Wales,18,8,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1901-02-09,Ireland,England,10,6,1901 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1901-02-23,Scotland,Ireland,9,5,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1901-03-09,England,Scotland,3,18,1901 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1901-03-16,Wales,Ireland,10,9,1901 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1902-01-11,England,Wales,8,9,1902 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1902-02-01,Wales,Scotland,14,5,1902 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1902-02-08,England,Ireland,6,3,1902 Home Nations Championship,Welford Road,Leicester,England,False,False
1902-02-22,Ireland,Scotland,5,0,1902 Home Nations Championship,Balmoral Showgrounds,Belfast,Ireland,False,False
1902-03-06,Ireland,Wales,0,15,1902 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1902-03-15,Scotland,England,3,6,1902 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1903-01-10,Wales,England,21,5,1903 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1903-02-07,Scotland,Wales,6,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1903-02-14,Ireland,England,6,0,1903 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1903-02-28,Scotland,Ireland,3,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1903-03-14,Wales,Ireland,18,0,1903 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1903-03-21,England,Scotland,6,10,1903 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1903-08-15,Australia,New Zealand,3,22,1903 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1904-01-09,England,Wales,14,14,1904 Home Nations Championship,Welford Road,Leicester,England,False,False
1904-02-06,Wales,Scotland,21,3,1904 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1904-02-13,England,Ireland,19,0,1904 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1904-02-27,Ireland,Scotland,3,19,1904 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1904-03-12,Ireland,Wales,14,12,1904 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False
1904-03-19,Scotland,England,6,3,1904 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1905-01-14,Wales,England,25,0,1905 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1905-02-04,Scotland,Wales,3,6,1905 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1905-02-11,Ireland,England,17,3,1905 Home Nations Championship,Mardyke,Cork,Ireland,False,False
1905-02-25,Scotland,Ireland,5,11,1905 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1905-03-11,Wales,Ireland,10,3,1905 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1905-03-18,England,Scotland,0,8,1905 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1905-09-02,New Zealand,Australia,14,3,1905 Australia tour of New Zealand,Tahuna Park,Dunedin,New Zealand,False,False
1905-11-18,Scotland,New Zealand,7,12,1905-06 New Zealand tour,Inverleith,Edinburgh,Scotland,False,False
1905-11-25,Ireland,New Zealand,0,15,The Original All Blacks,Lansdowne Road,Dublin,Ireland,False,False
1905-12-02,England,New Zealand,0,15,The Original All Blacks tour,Crystal Palace,London,England,False,False
1905-12-16,Wales,New Zealand,3,0,The Original All Blacks tour,Cardiff Arms Park,Cardiff,Wales,False,False
1906-01-01,France,New Zealand,8,38,The Original All Blacks,Parc des Princes,Paris,France,False,False
1906-01-13,England,Wales,3,16,1906 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1906-02-03,Wales,Scotland,9,3,1906 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1906-02-10,England,Ireland,6,16,1906 Home Nations Championship,Welford Road,Leicester,England,False,False
1906-02-24,Ireland,Scotland,6,13,1906 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1906-03-10,Ireland,Wales,11,6,1906 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False
1906-03-17,Scotland,England,3,9,1906 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1906-03-22,France,England,8,35,,Parc des Princes,Paris,France,False,False
1906-11-17,Scotland,South Africa,6,0,1906–07 South Africa rugby union tour of Europe,Hampden Park,Glasgow,Scotland,False,False
1906-11-24,Ireland,South Africa,12,15,1906–07 South Africa rugby union tour of Europe,Balmoral Showgrounds,Belfast,Ireland,False,False
1906-12-01,Wales,South Africa,0,11,1906–07 South Africa tour of Europe,St. Helen's,Swansea,Wales,False,False
1906-12-08,England,South Africa,3,3,1906-07 South Africa rugby union tour of Europe,Crystal Palace,London,England,False,False
1907-01-05,England,France,41,13,,Athletic Ground,Richmond,England,False,False
1907-01-12,Wales,England,22,0,1907 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1907-02-02,Scotland,Wales,6,3,1907 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1907-02-09,Ireland,England,17,9,1907 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1907-02-23,Scotland,Ireland,15,3,1907 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1907-03-09,Wales,Ireland,29,0,1907 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1907-03-16,England,Scotland,3,8,1907 Home Nations Championship,Rectory Field,Blackheath,England,False,False
1907-07-20,Australia,New Zealand,6,26,1907 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1907-08-03,Australia,New Zealand,5,14,1907 New Zealand tour of Australia,Brisbane Cricket Ground,Brisbane,Australia,False,False
1907-08-10,Australia,New Zealand,5,5,1907 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1908-01-01,France,England,0,19,,Stade Yves-du-Manoir,Colombes,France,False,False
1908-01-18,England,Wales,18,28,1908 Home Nations Championship,Ashton Gate,Bristol,England,False,False
1908-02-01,Wales,Scotland,6,5,1908 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1908-02-08,England,Ireland,13,3,1908 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1908-02-29,Ireland,Scotland,16,11,1908 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1908-03-02,Wales,France,36,4,1908 Home Nations Championship,National Stadium,Cardiff,Wales,False,False
1908-03-14,Ireland,Wales,5,11,1908 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False
1908-03-21,Scotland,England,16,10,1908 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1908-12-12,Wales,Australia,9,6,1908–09 Australia tour of Great Britain,National Stadium,Cardiff,Wales,False,False
1909-01-09,England,Australia,3,9,1908–09 Australia tour of Great Britain,Rectory Field,Blackheath,England,False,False
1909-01-16,Wales,England,8,0,1909 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1909-01-30,England,France,22,0,,Welford Road,Leicester,England,False,False
1909-02-06,Scotland,Wales,3,5,1909 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1909-02-13,Ireland,England,5,11,1909 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1909-02-23,France,Wales,5,47,1909 Home Nations Championship,Stade Colombes,Paris,France,False,False
1909-02-27,Scotland,Ireland,9,3,1909 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1909-03-13,Wales,Ireland,18,5,1909 Home Nations Championship,St Helen's,Swansea,Wales,False,False
1909-03-20,Ireland,France,19,8,Test Match,Lansdowne Road,Dublin,Ireland,False,False
1909-03-20,England,Scotland,8,18,1909 Home Nations Championship,Athletic Ground,Richmond,England,False,False
1910-01-01,Wales,France,49,14,1910 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1910-01-15,England,Wales,11,6,1910 Five Nations Championship,Twickenham,London,England,False,False
1910-01-22,Scotland,France,27,0,1910 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1910-02-05,Wales,Scotland,14,0,1910 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1910-02-11,England,Ireland,0,0,1910 Five Nations Championship,Twickenham,London,England,False,False
1910-02-26,Ireland,Scotland,0,14,1910 Five Nations Championship,Balmoral Showgrounds,Belfast,Ireland,False,False
1910-03-03,France,England,3,11,1910 Five Nations Championship,Parc des Princes,Paris,France,False,False
1910-03-12,Ireland,Wales,3,19,1910 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1910-03-19,Scotland,England,5,14,1910 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1910-03-28,France,Ireland,3,8,1910 Five Nations Championship,Parc des Princes,Paris,France,False,False
1910-06-25,Australia,New Zealand,0,6,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1910-06-27,Australia,New Zealand,11,0,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1910-07-02,Australia,New Zealand,13,28,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1911-01-02,France,Scotland,16,15,1911 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1911-01-21,Wales,England,15,11,1911 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1911-01-28,England,France,37,0,1911 Five Nations Championship,Twickenham,London,England,False,False
1911-02-04,Scotland,Wales,10,32,1911 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1911-02-11,Ireland,England,3,0,1911 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1911-02-25,Scotland,Ireland,10,16,1911 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1911-02-28,France,Wales,0,15,1911 Five Nations Championship,Parc des Princes,Paris,France,False,False
1911-03-11,Wales,Ireland,16,0,1911 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1911-03-18,England,Scotland,13,8,1911 Five Nations Championship,Twickenham Stadium,London,England,False,False
1911-03-25,Ireland,France,25,5,1911 Five Nations Championship,Mardyke,Cork,Ireland,False,False
1912-01-01,France,Ireland,6,11,1912 Five Nations Championship,Parc des Princes,Paris,France,False,False
1912-01-20,England,Wales,8,0,1912 Five Nations Championship,Twickenham,London,England,False,False
1912-01-20,Scotland,France,31,3,1912 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1912-02-03,Wales,Scotland,21,6,1912 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1912-02-10,England,Ireland,15,0,1912 Five Nations Championship,Twickenham,London,England,False,False
1912-02-24,Ireland,Scotland,10,8,1912 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1912-03-09,Ireland,Wales,12,5,1912 Five Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False
1912-03-16,Scotland,England,8,3,1912 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1912-03-25,Wales,France,14,8,1912 Five Nations Championship,Rodney Parade,Newport,Wales,False,False
1912-04-08,France,England,8,18,1912 Five Nations Championship,Parc des Princes,Paris,France,False,False
1912-11-23,Scotland,South Africa,0,16,1912-13 South Africa rugby union tour of Europe,Inverleith,Edinburgh,Scotland,False,False
1912-11-30,Ireland,South Africa,0,38,1912–13 South Africa rugby union tour of Europe,Lansdowne Road,Dublin,Ireland,False,False
1912-12-14,Wales,South Africa,0,3,1912–13 South Africa tour of Europe,Cardiff Arms Park,Cardiff,Wales,False,False
1913-01-01,France,Scotland,3,21,1913 Five Nations Championship,Parc des Princes,Paris,France,False,False
1913-01-04,England,South Africa,3,9,1912-13 South Africa rugby union tour of Europe,Twickenham,London,England,False,False
1913-01-11,France,South Africa,5,38,1912–13 South Africa rugby union tour of Europe,Parc Lescure,Bordeaux,France,False,False
1913-01-18,Wales,England,0,12,1913 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1913-01-25,England,France,20,0,1913 Five Nations Championship,Twickenham,London,England,False,False
1913-02-01,Scotland,Wales,0,8,1913 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1913-02-09,Ireland,England,4,15,1913 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1913-02-22,Scotland,Ireland,29,14,1913 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1913-02-27,France,Wales,8,11,1913 Five Nations Championship,Parc des Princes,Paris,France,False,False
1913-03-08,Wales,Ireland,16,13,1913 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1913-03-15,England,Scotland,3,0,1913 Five Nations Championship,Twickenham Stadium,London,England,False,False
1913-03-24,Ireland,France,24,0,1913 Five Nations Championship,Mardyke,Cork,Ireland,False,False
1913-09-06,New Zealand,Australia,30,5,1913 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False
1913-09-13,New Zealand,Australia,25,13,1913 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand,False,False
1913-09-20,New Zealand,Australia,5,16,1913 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,False,False
1914-01-01,France,Ireland,6,8,1914 Five Nations Championship,Parc des Princes,Paris,France,False,False
1914-01-17,England,Wales,10,9,1914 Five Nations Championship,Twickenham,London,England,False,False
1914-02-07,Wales,Scotland,24,5,1914 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1914-02-14,England,Ireland,17,12,1914 Five Nations Championship,Twickenham,London,England,False,False
1914-02-28,Ireland,Scotland,6,0,1914 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1914-03-02,Wales,France,31,0,1914 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1914-03-14,Ireland,Wales,3,11,1914 Five Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False
1914-03-21,Scotland,England,15,16,1914 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False
1914-04-13,France,England,13,39,1914 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1914-07-18,Australia,New Zealand,0,5,1914 New Zealand tour of Australia,Sydney Sports Ground,Sydney,Australia,False,False
1914-08-01,Australia,New Zealand,0,17,1914 New Zealand tour of Australia,Brisbane Cricket Ground,Brisbane,Australia,False,False
1914-08-15,Australia,New Zealand,7,22,1914 New Zealand tour of Australia,Sydney Sports Ground,Sydney,Australia,False,False
1920-01-01,France,Scotland,0,5,1920 Five Nations Championship,Parc des Princes,Paris,France,False,False
1920-01-17,Wales,England,19,5,1920 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1920-01-31,England,France,8,3,1920 Five Nations Championship,Twickenham,London,England,False,False
